船舶呼號,英文名稱,中文名稱,IMO號,MMSI號,船東,船籍港,船種,船舶國籍,危險品,航線,出發港,目的港,實際進港日,實際進港時間,實際出港日,實際出港時間
BR3066,HUNG YUNN NO.3,宏運3號,,416000030,宏華營造股份有限公司,高雄港,拖船,中華民國,無危險品,,通霄港,通霄港,20220320,0632,20220321,2000
BR4323,FALCON I,宏隼1號,,416006192,東方風能科技股份有限公司,臺中港,運輸補給船,中華民國,無危險品,,臺中港,臺中港,,,20220330,0813
BR4360,FALCON NO.2,宏隼2號,,416006193,東方風能科技股份有限公司,臺中港,運輸補給船,中華民國,無危險品,,臺中港,臺中港,,,20220330,0729
BR4428,,亞昌11號,,416006675,翱翔實業有限公司,高雄港,工作船,中華民國,無危險品,,臺中港港外,臺中港港外,20211209,1101,20220309,0929
,THI HAN NO.9,大瀚9號,,416006507,大漢海事工程有限公司,臺中港,挖泥船,中華民國,無危險品,,麥寮港,臺中港港外,20220301,2306,20220325,0048
BR4166,CWIND PHANTOM,奔騰,9770490,416005829,國際海洋股份有限公司,高雄港,運輸補給船,中華民國,無危險品,,臺中港港外,臺中港港外,20220330,1116,20220330,1212
BHFG,POLARIS,寶拉麗絲,,416435000,銓日儀企業有限公司,高雄港,工作船,中華民國,無危險品,,臺中港,臺中港,20220318,0107,20220320,2013
BR4397,JING CHEN HAO,京城號,,416006596,翁逸民,臺中港,工作船,中華民國,無危險品,,八斗子漁港（碧砂港區）,中華民國其他港口,20220304,1505,20220324,0643
BNBC,DONG YONG NO. 8,東湧8號,9085065,416434000,東湧船舶運輸股份有限公司,基隆港,雜貨船,中華民國,無危險品,,基隆港,基隆港,20220318,0901,20220318,1505
BNBC,DONG YONG NO. 8,東湧8號,9085065,416434000,東湧船舶運輸股份有限公司,基隆港,雜貨船,中華民國,無危險品,,澎湖港,基隆港,20220304,0847,20220304,1235
BKLY,GIMPO SHUN,金保順,9656565,416041000,金保順海業股份有限公司,臺北港,散裝船,中華民國,無危險品,,基隆港,臺北港,20220320,0400,20220320,1037
BDFH,HWA LIEN EXPRESS,通華,9248411,416343000,中鋼運通股份有限公司,高雄港,散裝船,中華民國,無危險品,,高雄港,臺中港,20220305,1507,20220306,1657
BNBC,DONG YONG NO. 8,東湧8號,9085065,416434000,東湧船舶運輸股份有限公司,基隆港,雜貨船,中華民國,無危險品,,臺北港,澎湖港,20220310,2013,20220311,0727
BNBC,DONG YONG NO. 8,東湧8號,9085065,416434000,東湧船舶運輸股份有限公司,基隆港,雜貨船,中華民國,無危險品,,澎湖港,基隆港,20220316,0708,20220316,1133
BNBC,DONG YONG NO. 8,東湧8號,9085065,416434000,東湧船舶運輸股份有限公司,基隆港,雜貨船,中華民國,無危險品,,基隆港,基隆港,20220320,1159,20220320,1636
BNBC,DONG YONG NO. 8,東湧8號,9085065,416434000,東湧船舶運輸股份有限公司,基隆港,雜貨船,中華民國,無危險品,,基隆港,基隆港,20220324,1201,20220324,1628
BNBC,DONG YONG NO. 8,東湧8號,9085065,416434000,東湧船舶運輸股份有限公司,基隆港,雜貨船,中華民國,無危險品,,基隆港,基隆港,20220326,0932,20220326,1414
BIAP,YUSHO STELLA,優秀,9364863,416008000,泰山航運事業股份有限公司,基隆港,雜貨船,中華民國,無危險品,,基隆港,基隆港,20220313,0824,20220313,1643
BIAP,YUSHO STELLA,優秀,9364863,416008000,泰山航運事業股份有限公司,基隆港,雜貨船,中華民國,無危險品,,基隆港,基隆港,20220309,0807,20220309,1407
BIAP,YUSHO STELLA,優秀,9364863,416008000,泰山航運事業股份有限公司,基隆港,雜貨船,中華民國,無危險品,,基隆港,基隆港,20220327,0811,20220327,1400
BIAP,YUSHO STELLA,優秀,9364863,416008000,泰山航運事業股份有限公司,基隆港,雜貨船,中華民國,無危險品,,基隆港,基隆港,20220331,0824,20220331,1507
BIAP,YUSHO STELLA,優秀,9364863,416008000,泰山航運事業股份有限公司,基隆港,雜貨船,中華民國,無危險品,,基隆港,基隆港,20220301,0715,20220301,1411
BIAP,YUSHO STELLA,優秀,9364863,416008000,泰山航運事業股份有限公司,基隆港,雜貨船,中華民國,無危險品,,基隆港,基隆港,20220303,0750,20220303,1352
BIAP,YUSHO STELLA,優秀,9364863,416008000,泰山航運事業股份有限公司,基隆港,雜貨船,中華民國,無危險品,,基隆港,基隆港,20220323,0727,20220323,1334
BIAP,YUSHO STELLA,優秀,9364863,416008000,泰山航運事業股份有限公司,基隆港,雜貨船,中華民國,無危險品,,基隆港,基隆港,20220317,0745,20220317,1434
BKLY,GIMPO SHUN,金保順,9656565,416041000,金保順海業股份有限公司,臺北港,散裝船,中華民國,無危險品,,基隆港,基隆港,20220306,0722,20220306,1425
BNBC,DONG YONG NO. 8,東湧8號,9085065,416434000,東湧船舶運輸股份有限公司,基隆港,雜貨船,中華民國,無危險品,,基隆港,臺北港,20220308,0843,20220308,1506
3FEU8,KAMO,加茂,9166833,352536000,SHIBA SHIPPING S.A.,巴拿馬城,雜貨船,巴拿馬,無危險品,,印度其他港口,,20220321,0734,20220324,2234
3EAS8,STL HARVEST,收穫,9325374,,FRANBO SAGACITY S.A.,巴拿馬城,雜貨船,巴拿馬,無危險品,兩岸直航航線,印度其他港口,,20220305,1227,20220306,1907
3FHL8,HOSEI CROWN,霍西皇冠,9543926,357840000,HOSEI GLOBAL CROWN S.A.,巴拿馬城,散裝船,巴拿馬,無危險品,,Krishnapatnam,印度其他港口,20220330,1152,20220331,2142
5BKF3,KRASZEWSKI,可拉斯,9432153,209355000,ZOVERLORD MARINE COMPANY LIMITED,利馬索爾,雜貨船,塞浦路斯,無危險品,兩岸直航航線,Vitoria,福建廈門,20220323,0839,20220325,1931
VRLH4,UNISON SPARK,聖昭輪,9636357,477203900,SUBLIME SHIPPING (HK) COMPANY LIMITED,香港,散裝船,香港,無危險品,,泰國其他港口,泰國其他港口,20220319,0731,20220322,1800
9VHR2,ZHU JIANG,珠江,9428865,564281000,NAN CHUAN MARITIME (PTE) LTD,新加坡,油輪,新加坡,易燃液體,,高雄港,高雄港,20220311,1120,20220314,1846
3EGP,UNIWELL,宏偉,9309643,354855000,UNIWISE MARINE CORPORATION,巴拿馬城,散裝船,巴拿馬,無危險品,,肯伐,高雄港,20220302,0947,20220306,1024
BHFB,HUA YUN,華運,9566344,416449000,台灣中油股份有限公司,高雄港,油品船,中華民國,無危險品,,基隆港,高雄港,20220320,0720,20220324,0742
OYGU2,MAERSK TEESPORT,馬司嗑,9726463,219190000,MAERSK PRODUCT TANKERS A/S,斯溫德堡,油化船,丹麥,無危險品,,丹戎帕拉帕斯,花蓮港外,20220316,1553,20220319,1534
H8CV,NEW JOURNEY,新行輪,9689794,356548000,NEW STAR NAVIGATION S.A.,巴拿馬城,散裝船,巴拿馬,無危險品,,昂斯羅,臺中港,20220309,0727,20220309,1843
BNEA,KM SYDNEY,光明雪梨,9454278,416451000,光明海運股份有限公司,基隆港,散裝船,中華民國,無危險品,,林口,花蓮港外,20220304,0731,20220304,1155
BKUC5,HUA LE 6,華樂6,9627459,413442760,浙江華樂遠洋船務有限公司,浙江舟山(MAJ),雜貨船,中國大陸,無危險品,兩岸直航航線,山東萊州,和平港外,20220304,1812,20220307,0145
BOCK5,HUA LE 3,華樂3,9618068,413440160,朱冬仁,浙江台州,散裝船,中國大陸,無危險品,兩岸直航航線,山東萊州,臺中港,20220325,2151,20220328,2127
BNJF,JUI HO,瑞和,9194816,416322000,達和航運股份有限公司,基隆港,水泥專用船,中華民國,無危險品,,臺中港,高雄港,20220310,0555,20220312,1034
BQVS,RUI LU,瑞鷺,9821976,413703940,LUOYANG SHIP MATERIAL RESEARCH ENTITUTE,福建廈門,雜貨船,中國大陸,無危險品,兩岸直航航線,江蘇常熟,,20220310,1459,20220310,2015
BKMM,TAHO OCEANIA,達洋,9800415,416045000,達和航運股份有限公司,基隆港,水泥專用船,中華民國,無危險品,,高雄港,臺中港,20220314,0919,20220315,2254
BKMF,TAHO AFRICA,達斐,9800403,416042000,達和航運股份有限公司,基隆港,水泥專用船,中華民國,無危險品,,安平港,安平港,20220311,1403,20220313,0419
BKMM,TAHO OCEANIA,達洋,9800415,416045000,達和航運股份有限公司,基隆港,水泥專用船,中華民國,無危險品,,安平港,高雄港,20220320,2009,20220322,1720
BNCY,NATION PROSPERITY II,國昌2號,9071155,416424000,國昌海運股份有限公司,基隆港,雜貨船,中華民國,無危險品,,高雄港,高雄港,20220310,1557,20220311,1347
VROS5,YUSHEN,優勝,9140530,477769400,PARAMOUNT NAVIGATION LIMITED,香港,散裝船,香港,無危險品,,高雄港,高雄港,20220325,1350,20220328,0800
BNCY,NATION PROSPERITY II,國昌2號,9071155,416424000,國昌海運股份有限公司,基隆港,雜貨船,中華民國,無危險品,,高雄港,高雄港,20220305,1341,20220306,1154
BNCY,NATION PROSPERITY II,國昌2號,9071155,416424000,國昌海運股份有限公司,基隆港,雜貨船,中華民國,無危險品,,高雄港,高雄港,20220318,0354,20220318,2252
BNCY,NATION PROSPERITY II,國昌2號,9071155,416424000,國昌海運股份有限公司,基隆港,雜貨船,中華民國,無危險品,,高雄港,高雄港,20220330,1022,20220331,1018
BNCY,NATION PROSPERITY II,國昌2號,9071155,416424000,國昌海運股份有限公司,基隆港,雜貨船,中華民國,無危險品,,高雄港,高雄港,20220324,1451,20220325,1337
VROS5,YUSHEN,優勝,9140530,477769400,PARAMOUNT NAVIGATION LIMITED,香港,散裝船,香港,無危險品,,臺北港,高雄港,20220315,0029,20220318,0325
9V2252,CHANYA NAREE,那瑞,9691797,564031000,ABC FOUR PTE. LTD.,新加坡,水泥專用船,新加坡,無危險品,,香港,香港,20220318,2319,20220320,0358
BKMM,TAHO OCEANIA,達洋,9800415,416045000,達和航運股份有限公司,基隆港,水泥專用船,中華民國,無危險品,,臺中港,高雄港,20220328,0830,20220330,0957
9V2252,CHANYA NAREE,那瑞,9691797,564031000,ABC FOUR PTE. LTD.,新加坡,水泥專用船,新加坡,無危險品,,香港,香港,20220330,1214,20220331,1600
9V2252,CHANYA NAREE,那瑞,9691797,564031000,ABC FOUR PTE. LTD.,新加坡,水泥專用船,新加坡,無危險品,,香港,香港,20220308,1729,20220309,2305
BNJH,TA HO,達和,9279824,416378000,達和航運股份有限公司,基隆港,水泥專用船,中華民國,無危險品,,高雄港,臺中港,20220324,2251,20220325,1857
BKMF,TAHO AFRICA,達斐,9800403,416042000,達和航運股份有限公司,基隆港,水泥專用船,中華民國,無危險品,,臺中港,安平港,20220303,1104,20220304,1902
BKMF,TAHO AFRICA,達斐,9800403,416042000,達和航運股份有限公司,基隆港,水泥專用船,中華民國,無危險品,,安平港,安平港,20220317,1358,20220318,2104
BNJF,JUI HO,瑞和,9194816,416322000,達和航運股份有限公司,基隆港,水泥專用船,中華民國,無危險品,,臺中港,臺中港,20220327,2251,20220330,1424
BNJF,JUI HO,瑞和,9194816,416322000,達和航運股份有限公司,基隆港,水泥專用船,中華民國,無危險品,,高雄港,臺中港,20220319,1505,20220321,1428
BLBM,ASIA CEMENT NO.3,亞泥3號,8806254,416124000,裕民航運股份有限公司,基隆港,水泥專用船,中華民國,無危險品,,基隆港,拿篤,20220325,1937,20220326,1653
BKMF,TAHO AFRICA,達斐,9800403,416042000,達和航運股份有限公司,基隆港,水泥專用船,中華民國,無危險品,,安平港,安平港,20220326,1716,20220327,2233
BKMM,TAHO OCEANIA,達洋,9800415,416045000,達和航運股份有限公司,基隆港,水泥專用船,中華民國,無危險品,,安平港,臺中港,20220307,0643,20220308,1701
BR3359,DONG LIAN NO.1,東蓮1號,,416003622,東億海事工程有限公司,花蓮港,受泥船,中華民國,無危險品,,花蓮港,和平港,20210727,1450,20220316,0747
,DONG LIAN NO.3,東蓮3號,,,紘暘海事工程有限公司,花蓮港,起重船,中華民國,無危險品,,花蓮港,和平港外,20200429,1315,20220316,0747
ICMF,ROYAL,皇家,9448580,247286800,RB/RD ARMATORI S.R.L,那不勒斯(拿坡里),散裝船,義大利,無危險品,,邦坦,和平港外,20220228,0617,20220303,1425
HPZO,NORD HYDRA,九頭蛇,9710787,372825000,ANGELFISH MARINE S.A.,巴拿馬城,散裝船,巴拿馬,無危險品,,巴里巴板,,20220311,1753,20220314,1657
VROQ4,EMERALD BAISHA,翡翠白沙,9726530,477548500,MULTI-CREATIVE LIMITED,香港,散裝船,香港,無危險品,,紐塞(新堡),和平港外,20220307,1214,20220311,1728
HPGK,SPIRIT OF HOPING,和平精神,9433638,372264000,SATSUKI MARITIME S.A.,巴拿馬城,散裝船,巴拿馬,無危險品,,紐塞(新堡),,20220326,1409,20220330,0100
JVTV7,SEA MIGHT NO.7,海威7號,15145151,457320000,"DAPHNE CO., LTD",烏蘭巴托,工作船,蒙古,無危險品,,臺中港港外,臺中港港外,20220210,1124,20220302,1507
BQ3054,TAHAN NO.711,大瀚711號,,416005004,大漢海事工程有限公司,臺中港,拖船,中華民國,無危險品,,通霄港,麥寮港,20220304,1320,20220312,0902
BLBM,ASIA CEMENT NO.3,亞泥3號,8806254,416124000,裕民航運股份有限公司,基隆港,水泥專用船,中華民國,無危險品,,臺中港,臺中港,20220301,1314,20220302,1115
BLBM,ASIA CEMENT NO.3,亞泥3號,8806254,416124000,裕民航運股份有限公司,基隆港,水泥專用船,中華民國,無危險品,,臺中港,臺中港,20220305,2330,20220306,2008
BLBM,ASIA CEMENT NO.3,亞泥3號,8806254,416124000,裕民航運股份有限公司,基隆港,水泥專用船,中華民國,無危險品,,臺中港,臺中港,20220309,1613,20220310,2313
BLBM,ASIA CEMENT NO.3,亞泥3號,8806254,416124000,裕民航運股份有限公司,基隆港,水泥專用船,中華民國,無危險品,,基隆港,臺中港,20220314,2334,20220315,1800
BLEZ,ASIA CEMENT NO.6,亞泥6號,9112832,416252000,裕民航運股份有限公司,基隆港,水泥專用船,中華民國,無危險品,,基隆港,臺中港,20220328,1516,20220329,0808
BLEZ,ASIA CEMENT NO.6,亞泥6號,9112832,416252000,裕民航運股份有限公司,基隆港,水泥專用船,中華民國,無危險品,,關島,臺中港,20220324,1501,20220325,0749
